grade	document	label
1	지저분ㅠ	0
1	편의 시설이 안되네요	0
1	쓰레기장같았어요.여기저기 널려있는 쓰레기들...제발 쓰레기는 집으로 가져가세요~	0
1	관리 잘안되어있음	0
1	그늘이없음	0
1	모기 모기 모기 ...	0
1	너무 더러움	0
1	그지같음	0
1	완전 개 쓰레기	0
1	비추	0
1	주차공간협소와 표지판미흡	0
1	물 깨끗하고 공기좋고 힐링하기 좋은장소지만 사람들도 많아지고 제트스키와 각종 배와기구들이 많아 기계소음과 매연?무서워서 물놀이도 힘듬	0
1	나쁨	0
1	진짜로 차들 많아요! 관광객들도 많고요! 지금은 수주팔봉 입구쪽 공사중이라 가는길이 헷갈릴 수 있습니다 공사가 진행중인 곳으로 가면 됩니다!	0
1	인간과 쓰레기들이 공존 하는 곳. 장박지 텐트들이 눈살을 찢부리게 하는 곳.	0
1	장박텐트족 때문에 지저분함	0
1	수돗물이더러워요	0
1	편의시설이 입구에만있어서 너무불편해요	0
1	별로야	0
1	대박	0
1	경치는 좋은데 음식이 맛대가리없음(그냥 맛없음)	0
1	청소불량	0
1	조와유	0
1	장애인주차 불편	0
1	주차장 사용 불편	0
1	코로나 확진자로 잠정폐쇄 되었네요..언제부터지도 알수없고..너무 기분 잡쳤어요ㅜㅜ	0
1	별로 ...	0
1	오늘 갔는데 양심없는 사람들이 새우망을 엄청 해놈.. 녹조도 진짜 많고	0
1	볼게 없음	0
1	화장실 개수대 없음	0
1	최악임. 그냥 잔디벌판인데.. 카라반만 있었음. 이유는 푸세식 간이화장실만 덩그라니 하나있음.	0
1	개수대도 없고 야간에 어두워 캠핑장으로는 별로입니다	0
1	물이더럽네요	0
1	더럽고 좁고 애들 데리고 가기엔....완전 비추	0
1	물의 수질이 너무 안좋아요	0
1	정말로 안좋은 계곡	0
1	영천시 관할의캠핑지로 오토카라반 대여가 예약제이며 관리인 불친절 여름철 오토카라반 실내 눅눅 습도 높음.크게 볼거리는 없으며 옆 수로? 같이 작은 계곡이라 봐야할지 ? 얕은 물도랑이 있으며 그냥 바람쇠고 하룻밤정도 놀다 갈만한 그런곳이다.여름엔 행락객들이 많으며 북적된다.	0
1	물이 가물고 그늘도 없고 뜨거워서 놀지도 못함.	0
1	"캠핑장이 전체적으로 더럽고 불결합니다. 카라반은 우풍이 심해서 감기에 걸릴수있겠다 싶더라구요. 전체적으로 시설물이 낡았고, 시설물이 관리가 안되어 있는 듯한 느낌을 강하게 받았습니다. 이불도 뽀송뽀송한 이불이 아니라서 덮고 자지는 않았습니다. 그리고 잘때 바닥의 온도조절이 잘 안되고 우풍이 심해서 그런지 딱 감기에 걸릴 좋은 환경같아 보였습니다. 사실 우리 아이들이 원하지 않으면 카라반에 갈 생각을 안하겠지만, 한번쯤은 경험해보는것도 좋겠다싶어서 갔었는데, 저는 별로 좋은 경험은 아니였던것 같습니다."	0
1	카라반을 너무 구린걸 가져다 놨네요ㅡㅡ 좋은게 천지 삐까린데 그거빼고 계곡 좋고 바베큐장은 최고에요	0
1	여름철 입구에서 주차료 받음.	0
1	물 ㅇㄷ?	0
1	"분위기 솔숲 좋으며 단점은 화장실, 수도 이용이 안됨 관리미흡"	0
1	볼거도 없는데 길도 좁고 차막히면 못나올듯	0
1	낚시금지구역	0
1	쫌 알려지니 사람 많네. 화장실 갔다가 토할뻔.. 더러워	0
1	온통쓰레기입니다.	0
1	물이 매우 탁합니다. 또한 텐트 치기엔 돌밭이라서 불편한점이 있습니다.	0
1	경치만좋음. 이번생엔 안가는걸로.너~~~~~~무 시끄러워서 휴~~~	0
1	화장실 최악 가지마세요	0
1	우리엄마가 싫어함 그러니까 나도 싫어할거임	0
1	관리가 너무 안되어 있네요 바닥에 풀도너무많이 자라있고 관리비에비에 드러움	0
1	자리세를받는찝찝한곳	0
1	볼거없음	0
1	아니 여기 물이 왜케 안좋아졌나요 ㅜㅜ 몇 년만에 갔는데 폭포 뒷쪽 출렁다리쪽 계곡물인가 거긴 엄청 깨끗했는데 축사라도 위에 있는건지... 물이 너무 더러워요	0
1	예전엔 좋았으나 관리가 부실하고 장박족에의한 폐해가 점점 심각해 지고 있음.	0
1	넘 더워요 ..물에 못들어 감 .탁해요 …	0
1	캠핑 안돼요 취사 안돼요 피크닉만 가능하십니다. 그리고 지금 가면 소독했다고 나가라고 합니다.	0
1	예전에좋았는데물도미지근하고덥네요	0
1	무료 캠핑장이다 보니 먼저온 사람들이 텐트치고 차를 빼야되는데 이기심에 자리를 엄청나게 차지해서 텐트 칠 자리가 없습니다. 타인을 배려하는 마음이 있어야겠습니다.	0
1	올해 여름 수해를 입어서 그런가 폐허 그 자체 .. 모든 출입도 막혀버렸다.	0
1	관리 좀 하던지?? 미~~로 같고 찾아들아가기도 힘들다 이런곳이 유원지?? 풍암저수지 가세요	0
1	관리가 엉망이에요	0
1	아버지들을 전혀 생각해주지 않는곳 짐들고가기 너무 힘들어요	0
1	놀거리가없어요 볼거리도 없고	0
